timestamp_s,follower_id,leader_id,follower_type,leader_type,xs,ys,xl,yl,Lx_m,Ly_m,v_follower_mps,v_leader_mps,leader_length_m,a_follower_mps2,a_leader_mps2,leader_rank
0.0,1,5,truck,car,8.2955,5.599,16.0615,7.569,3.266,-0.18,0.2103,0.5728,4.5,8.0449,7.5793,1
0.0,1,9,truck,car,8.2955,5.599,16.6948,6.4143,3.8993,-1.3347,0.2103,1.2986,4.5,8.0449,-1.8361,2
0.0,1,11,truck,truck,8.2955,5.599,21.054,5.766,4.7585,-2.333,0.2103,1.1611,8.0,8.0449,-0.8406,3
0.0,2,8,car,truck,21.3218,7.9842,27.0815,10.187,-2.2403,0.0528,1.926,2.4235,8.0,0.5691,12.1183,1
0.0,2,7,car,car,21.3218,7.9842,28.6144,8.3739,2.7926,-1.4103,1.926,0.1407,4.5,0.5691,-0.0006,2
0.0,3,6,car,car,6.9705,9.487,9.608,7.8655,-1.8625,-0.1785,2.2227,1.2786,4.5,3.5546,6.2183,1
0.0,3,2,car,car,6.9705,9.487,21.3218,7.9842,9.8513,-0.2972,2.2227,1.926,4.5,3.5546,0.5691,2
0.0,3,8,car,truck,6.9705,9.487,27.0815,10.187,12.111,-1.45,2.2227,2.4235,8.0,3.5546,12.1183,3
0.0,3,7,car,car,6.9705,9.487,28.6144,8.3739,17.1439,-0.6869,2.2227,0.1407,4.5,3.5546,-0.0006,4
0.0,5,9,car,car,16.0615,7.569,16.6948,6.4143,-3.8667,-0.6453,0.5728,1.2986,4.5,7.5793,-1.8361,1
0.0,5,11,car,truck,16.0615,7.569,21.054,5.766,-3.0075,-0.347,0.5728,1.1611,8.0,7.5793,-0.8406,2
0.0,5,2,car,car,16.0615,7.569,21.3218,7.9842,0.7603,-1.3848,0.5728,1.926,4.5,7.5793,0.5691,3
0.0,5,7,car,car,16.0615,7.569,28.6144,8.3739,8.0529,-0.9951,0.5728,0.1407,4.5,7.5793,-0.0006,4
0.0,6,5,car,car,9.608,7.8655,16.0615,7.569,1.9535,-1.5035,1.2786,0.5728,4.5,6.2183,7.5793,1
0.0,6,9,car,car,9.608,7.8655,16.6948,6.4143,2.5868,-0.3488,1.2786,1.2986,4.5,6.2183,-1.8361,2
0.0,6,11,car,truck,9.608,7.8655,21.054,5.766,3.446,-0.0505,1.2786,1.1611,8.0,6.2183,-0.8406,3
0.0,6,2,car,car,9.608,7.8655,21.3218,7.9842,7.2138,-1.6813,1.2786,1.926,4.5,6.2183,0.5691,4
0.0,6,7,car,car,9.608,7.8655,28.6144,8.3739,14.5064,-1.2916,1.2786,0.1407,4.5,6.2183,-0.0006,5
0.0,8,7,truck,car,27.0815,10.187,28.6144,8.3739,-2.9671,-0.3369,2.4235,0.1407,4.5,12.1183,-0.0006,1
0.0,9,11,car,truck,16.6948,6.4143,21.054,5.766,-3.6408,-1.5017,1.2986,1.1611,8.0,-1.8361,-0.8406,1
0.0,9,2,car,car,16.6948,6.4143,21.3218,7.9842,0.127,-0.2301,1.2986,1.926,4.5,-1.8361,0.5691,2
0.0,10,4,bus,car,1.8565,11.4115,5.8815,12.5915,-0.475,-0.97,3.5784,6.2079,4.5,13.1239,-7.2558,1
0.0,10,3,bus,car,1.8565,11.4115,6.9705,9.487,0.614,-0.2255,3.5784,2.2227,4.5,13.1239,3.5546,2
0.0,10,8,bus,truck,1.8565,11.4115,27.0815,10.187,17.225,-1.2755,3.5784,2.4235,8.0,13.1239,12.1183,3
0.0,11,2,truck,car,21.054,5.766,21.3218,7.9842,-4.2322,0.0682,1.1611,1.926,4.5,-0.8406,0.5691,1
0.2,1,6,truck,car,8.46,5.572,9.8715,7.6445,-3.0885,-0.0775,1.2529,1.9774,4.5,2.125,0.7383,1
0.2,1,5,truck,car,8.46,5.572,15.9705,7.811,3.0105,0.089,1.2529,1.9115,4.5,2.125,4.7689,2
0.2,1,9,truck,car,8.46,5.572,16.6566,6.6464,3.6966,-1.0756,1.2529,1.1131,4.5,2.125,-0.0357,3
0.2,1,11,truck,truck,8.46,5.572,21.1604,5.9597,4.7004,-2.1123,1.2529,1.0757,8.0,2.125,-0.0142,4
0.2,2,7,car,car,21.565,8.307,28.6087,8.3463,2.5437,-1.7607,2.1529,0.1406,4.5,1.6789,-0.0006,1
0.2,3,6,car,car,7.3475,9.1375,9.8715,7.6445,-1.976,-0.307,2.8894,1.9774,4.5,1.9524,0.7383,1
0.2,3,5,car,car,7.3475,9.1375,15.9705,7.811,4.123,-0.4735,2.8894,1.9115,4.5,1.9524,4.7689,2
0.2,3,2,car,car,7.3475,9.1375,21.565,8.307,9.7175,-0.9695,2.8894,2.1529,4.5,1.9524,1.6789,3
0.2,3,8,car,truck,7.3475,9.1375,27.609,10.654,12.2615,-0.6335,2.8894,4.5073,8.0,1.9524,8.6942,4
0.2,3,7,car,car,7.3475,9.1375,28.6087,8.3463,16.7612,-1.0088,2.8894,0.1406,4.5,1.9524,-0.0006,5
0.2,4,8,car,truck,6.6855,11.7875,27.609,10.654,12.9235,-1.0165,5.3682,4.5073,8.0,-1.1723,8.6942,1
0.2,5,9,car,car,15.9705,7.811,16.6566,6.6464,-3.8139,-0.6354,1.9115,1.1131,4.5,4.7689,-0.0357,1
0.2,5,11,car,truck,15.9705,7.811,21.1604,5.9597,-2.8101,-0.2987,1.9115,1.0757,8.0,4.7689,-0.0142,2
0.2,5,2,car,car,15.9705,7.811,21.565,8.307,1.0945,-1.304,1.9115,2.1529,4.5,4.7689,1.6789,3
0.2,5,7,car,car,15.9705,7.811,28.6087,8.3463,8.1382,-1.2647,1.9115,0.1406,4.5,4.7689,-0.0006,4
0.2,6,5,car,car,9.8715,7.6445,15.9705,7.811,1.599,-1.6335,1.9774,1.9115,4.5,0.7383,4.7689,1
0.2,6,9,car,car,9.8715,7.6445,16.6566,6.6464,2.2851,-0.8019,1.9774,1.1131,4.5,0.7383,-0.0357,2
0.2,6,11,car,truck,9.8715,7.6445,21.1604,5.9597,3.2889,-0.4652,1.9774,1.0757,8.0,0.7383,-0.0142,3
0.2,6,2,car,car,9.8715,7.6445,21.565,8.307,7.1935,-1.1375,1.9774,2.1529,4.5,0.7383,1.6789,4
0.2,6,7,car,car,9.8715,7.6445,28.6087,8.3463,14.2372,-1.0982,1.9774,0.1406,4.5,0.7383,-0.0006,5
0.2,9,11,car,truck,16.6566,6.6464,21.1604,5.9597,-3.4962,-1.4633,1.1131,1.0757,8.0,-0.0357,-0.0142,1
0.2,9,2,car,car,16.6566,6.6464,21.565,8.307,0.4084,-0.1394,1.1131,2.1529,4.5,-0.0357,1.6789,2
0.2,9,7,car,car,16.6566,6.6464,28.6087,8.3463,7.4521,-0.1001,1.1131,0.1406,4.5,-0.0357,-0.0006,3
