frame_number,vehicle_id,timestamp_s,vehicle_type,x_center_px,y_center_px,x_front_px,y_front_px,x_min,y_min,x_max,y_max,width_px,height_px,confidence,vehicle_length_m,vehicle_width_m
0,1,0.0,truck,146.12,111.98,165.91,111.98,126.33,93.9,165.91,130.06,39.58,36.16,0.8806,8.0,2.5
0,2,0.0,car,406.46,160.21,426.55,160.21,386.36,142.99,426.55,177.43,40.19,34.44,0.849,4.5,1.8
0,3,0.0,car,108.67,189.74,139.41,189.74,77.94,170.07,139.41,209.4,61.47,39.34,0.7952,4.5,1.8
0,4,0.0,car,69.41,251.83,117.63,251.83,21.19,220.66,117.63,283.0,96.44,62.34,0.788,4.5,1.8
0,5,0.0,car,304.68,151.38,321.23,151.38,288.14,135.77,321.23,166.98,33.09,31.2,0.7811,4.5,1.8
0,6,0.0,car,173.32,157.31,192.16,157.31,154.48,142.82,192.16,171.81,37.69,28.99,0.7704,4.5,1.8
0,7,0.0,car,570.04,170.02,596.05,170.02,544.03,151.35,596.05,188.69,52.01,37.34,0.7696,4.5,1.8
0,8,0.0,truck,510.53,203.74,541.63,203.74,479.42,165.73,541.63,241.76,62.21,76.03,0.722,8.0,2.5
0,9,0.0,car,322.57,128.74,333.91,128.74,311.23,116.49,333.91,140.99,22.69,24.5,0.6775,4.5,1.8
0,10,0.0,bus,18.64,228.23,37.13,228.23,0.14,200.25,37.13,256.2,36.99,55.95,0.6618,12.0,2.5
0,11,0.0,truck,402.67,116.06,421.67,116.06,383.66,93.92,421.67,138.2,38.01,44.28,0.6096,8.0,2.5
4,13,0.133,motorcycle,395.22,268.26,409.04,268.26,381.4,246.5,409.04,290.02,27.63,43.51,0.6291,2.0,0.8
4,12,0.133,truck,90.97,149.9,119.08,149.9,62.85,114.57,119.08,185.22,56.23,70.65,0.582,8.0,2.5
6,4,0.2,car,90.66,235.75,133.71,235.75,47.6,207.89,133.71,263.62,86.11,55.73,0.8808,4.5,1.8
6,3,0.2,car,118.0,182.75,146.95,182.75,89.04,164.18,146.95,201.33,57.91,37.15,0.8672,4.5,1.8
6,2,0.2,car,409.54,164.47,430.68,164.47,388.4,145.47,430.68,183.48,42.28,38.01,0.8539,4.5,1.8
6,7,0.2,car,568.1,170.26,593.77,170.26,542.44,151.63,593.77,188.89,51.33,37.26,0.8396,4.5,1.8
6,5,0.2,car,302.33,156.22,319.41,156.22,285.26,139.77,319.41,172.67,34.15,32.9,0.8203,4.5,1.8
6,1,0.2,truck,148.41,111.44,169.2,111.44,127.61,94.22,169.2,128.65,41.59,34.43,0.8134,8.0,2.5
6,6,0.2,car,178.92,152.89,197.43,152.89,160.4,139.37,197.43,166.42,37.04,27.05,0.7811,4.5,1.8
6,8,0.2,truck,518.95,213.08,552.18,213.08,485.71,172.5,552.18,253.66,66.48,81.16,0.7552,8.0,2.5
6,9,0.2,car,321.05,131.72,333.12,131.72,308.98,118.95,333.12,144.49,24.14,25.53,0.6699,4.5,1.8
6,10,0.2,bus,26.23,217.73,52.25,217.73,0.21,190.99,52.25,244.48,52.05,53.49,0.6398,12.0,2.5
6,15,0.2,car,220.56,121.72,234.84,121.72,206.27,110.6,234.84,132.84,28.57,22.24,0.6186,4.5,1.8
